attempts,time_played,booster_used,level_completion_time,specific_action_usage,lives_from_ads,purchase_amount,purchase_date,device_type,os_version,friend_invites_sent,friend_invites_received,guild_chat_messages,facebook_connect_status,social_engagement_through_facebook,churn,hard_level,purchase_month,ps
195,66224,2,583,striped candy swipe,0,16.4,2023-11-11,ipad,13.6,0,8,0,0,low,0,0,11.0,0.3055195067296713
40,800,2,50,extra time boost,13,31.44,2023-11-11,android,12.6,0,0,28,1,low,0,0,11.0,0.1772840415988587
38,11122,0,50,color bomb creation,0,7.58,2023-11-11,iphone,11.2,2,0,5,0,low,1,0,11.0,0.22700622659251696
4,2213,4,50,special candy swap,13,1.77,2023-11-10,ipad,14.3,18,4,0,0,low,1,1,11.0,0.3979523725595879
350,25812,14,402,special candy swap,2,3.48,2023-11-10,iphone,11.4,25,3,53,0,low,1,1,11.0,0.15918560329037404
4,800,10,229,color bomb usage,0,21.05,2023-11-10,ipad,18.9,17,21,4,1,low,1,0,11.0,0.2463460360038091
4,10026,8,50,fish usage,0,85.45,2023-11-10,ipad,14.2,28,0,61,0,low,0,1,11.0,0.2713641815443794
4,800,59,644,fish usage,30,48.37,2023-11-10,ipad,13.9,76,0,4,1,low,0,0,11.0,0.15461095569823083
4,800,74,310,fish usage,49,26.91,2023-11-10,ipad,12.4,20,2,3,0,low,0,0,11.0,0.296995597118659
46,64686,35,407,extra time boost,3,8.14,2023-11-10,ipad,14.5,21,19,23,1,low,1,0,11.0,0.2209757930683348
36,22838,10,1226,special candy swap,7,20.79,2023-11-10,iphone,14.9,18,2,0,1,low,1,0,11.0,0.27352097731894087
19,800,20,159,rewarded_boosters,3,0.85,2023-11-10,android,18.2,25,7,4,1,low,0,0,11.0,0.280239067653313
210,29109,0,50,wrapped candy blast,0,25.38,2023-11-10,ipad,17.8,76,0,20,0,low,0,0,11.0,0.20869741719058266
400,12675,95,472,extra time boost,31,19.02,2023-11-10,android,14.4,24,21,11,0,low,0,1,11.0,0.3243859468177606
4,18359,22,250,color bomb usage,0,36.69,2023-11-10,iphone,13.4,7,112,7,1,low,0,0,11.0,0.22454130769817962
359,37733,1,50,wrapped candy blast,42,11.79,2023-11-10,android,12.3,14,5,19,1,low,1,0,11.0,0.2324821579094906
25,800,4,50,striped candy swipe,5,4.92,2023-11-10,android,12.8,9,11,7,1,low,0,1,11.0,0.30523649000873765
4,800,3,50,extra moves,2,2.29,2023-11-10,android,16.3,34,0,5,1,low,0,0,11.0,0.24752287015394364
44,35332,0,334,wrapped candy blast,7,3.02,2023-11-10,ipad,14.9,18,19,0,0,low,0,0,11.0,0.2654739735214821
316,800,8,2280,special candy swap,0,25.34,2023-11-10,ipad,19.3,0,112,31,0,low,0,1,11.0,0.35017356779042846
4,800,59,50,color bomb usage,0,20.22,2023-11-10,ipad,13.8,45,0,14,0,low,1,1,11.0,0.37562994457762927
269,800,0,357,special candy swap,13,15.61,2023-11-10,ipad,17.2,7,0,7,0,low,1,0,11.0,0.2951926389034088
245,7960,7,786,fish blast,8,27.05,2023-11-10,ipad,16.9,21,22,8,0,low,0,1,11.0,0.311742140985248
229,800,4,984,wrapped candy blast,7,22.19,2023-11-10,ipad,14.7,0,2,16,0,high,0,0,11.0,0.27333561194960987
4,800,16,128,wrapped candy blast,0,3.44,2023-11-10,iphone,15.9,4,0,0,1,low,1,0,11.0,0.2412835196833217
201,800,14,774,color bomb creation,41,4.14,2023-11-10,ipad,11.2,13,9,30,0,low,1,0,11.0,0.2169804006610954
400,800,0,50,special candy swap,11,15.32,2023-11-10,iphone,11.2,8,5,27,0,low,0,0,11.0,0.2253820799310398
106,5569,13,469,extra moves,11,32.46,2023-11-10,iphone,14.8,59,3,32,1,low,0,0,11.0,0.27129600223176364
100,800,32,501,fish usage,5,7.95,2023-11-10,ipad,12.5,7,18,5,0,high,0,0,11.0,0.19424719261318987
5,1814,12,50,striped candy swipe,4,14.21,2023-11-10,iphone,12.0,22,18,9,1,low,1,0,11.0,0.2135070942492711
309,800,0,50,special candy swap,13,13.4,2023-11-10,iphone,14.1,6,3,4,0,low,0,0,11.0,0.21989038952786938
400,2312,13,2280,striped candy swipe,10,15.81,2023-11-09,ipad,11.6,16,9,52,1,low,0,0,11.0,0.2543101209451308
4,800,27,50,wrapped candy blast,40,24.67,2023-11-09,ipad,11.2,55,30,7,0,low,0,0,11.0,0.2128278214038245
259,800,72,50,striped candy swipe,14,19.3,2023-11-09,android,14.1,17,24,41,0,low,1,0,11.0,0.25749532086634347
4,800,6,50,rewarded_boosters,5,6.09,2023-11-09,iphone,13.6,76,5,116,1,low,0,0,11.0,0.32156067006162076
38,800,23,50,fish usage,49,23.14,2023-11-09,ipad,12.4,6,22,13,0,low,1,1,11.0,0.297940135711851
6,8042,77,117,special candy swap,0,24.35,2023-11-09,android,15.2,41,11,22,0,low,0,0,11.0,0.3109255607234621
8,1118,32,909,extra moves,0,4.4,2023-11-09,ipad,11.2,9,7,13,1,low,0,0,11.0,0.21692744644371834
19,3739,63,50,wrapped candy blast,0,20.18,2023-11-09,ipad,11.9,4,30,39,1,low,1,1,11.0,0.31835297439999644
74,6124,6,499,striped candy swipe,3,11.31,2023-11-08,ipad,16.9,16,4,3,0,low,0,1,11.0,0.3158052309037322
4,800,15,2280,striped candy swipe,38,2.09,2023-11-08,iphone,14.1,6,7,106,1,low,0,0,11.0,0.22222515254319034
267,32232,59,113,wrapped candy blast,9,7.77,2023-11-08,iphone,13.7,0,0,4,0,high,0,0,11.0,0.196594883177697
15,54447,7,133,extra time boost,1,9.6,2023-11-08,iphone,19.1,76,23,0,1,low,1,0,11.0,0.32746181219200954
4,800,95,805,wrapped candy blast,0,8.95,2023-11-08,android,11.2,24,8,0,1,low,0,0,11.0,0.2664742586323988
400,13817,28,569,wrapped candy blast,4,23.35,2023-11-08,iphone,14.1,1,112,7,0,low,0,1,11.0,0.21785098447877735
4,19428,15,50,fish blast,0,16.28,2023-11-08,ipad,13.8,76,4,8,0,low,0,0,11.0,0.3767384179798879
13,25319,4,50,fish usage,14,29.06,2023-11-08,iphone,19.3,20,1,0,0,low,0,0,11.0,0.36341907773750776
12,4690,4,146,striped candy swipe,0,18.87,2023-11-08,android,15.2,4,27,5,0,low,0,0,11.0,0.31338185173646316
400,800,15,179,extra time boost,0,22.21,2023-11-08,ipad,13.8,1,61,0,1,low,1,0,11.0,0.3750705752083104
4,800,95,50,color bomb usage,4,1.62,2023-11-08,ipad,14.8,0,29,8,1,low,0,0,11.0,0.2663413288411133
64,800,0,50,wrapped candy blast,0,27.73,2023-11-08,iphone,14.7,76,31,8,1,low,0,0,11.0,0.2845047885073875
9,3087,8,650,extra time boost,0,17.57,2023-11-08,ipad,14.0,0,3,29,1,low,0,1,11.0,0.289756491182803
56,20257,11,50,striped candy swipe,16,2.56,2023-11-08,iphone,14.8,0,5,90,0,low,0,1,11.0,0.2784404115622289
4,800,15,50,extra moves,0,19.93,2023-11-08,ipad,12.0,15,20,78,1,low,1,0,11.0,0.2021432526918134
309,5092,7,374,striped candy swipe,0,9.71,2023-11-08,android,15.5,16,14,0,0,low,1,0,11.0,0.24123184390166125
4,800,17,50,wrapped candy blast,0,9.81,2023-11-08,android,12.9,3,112,117,0,low,1,1,11.0,0.30368133870622954
400,9461,52,50,special candy swap,49,82.9,2023-11-08,ipad,11.9,5,47,12,1,low,0,0,11.0,0.30226307355481136
34,9693,3,827,wrapped candy swap,5,16.28,2023-11-08,android,13.7,29,0,23,1,low,0,0,11.0,0.22997800327304063
42,74931,47,50,fish usage,0,45.66,2023-11-07,android,15.6,12,4,23,1,low,1,0,11.0,0.2203662806615467
4,7568,3,50,extra time boost,12,20.46,2023-11-07,iphone,19.3,36,0,0,1,low,0,1,11.0,0.3658076606463212
4,800,15,370,extra moves,0,21.99,2023-11-07,ipad,12.1,3,0,41,0,low,1,1,11.0,0.21527055687835214
93,800,18,388,color bomb creation,7,23.89,2023-11-07,ipad,11.2,0,11,6,0,moderate,0,0,11.0,0.2129845259980057
127,800,84,1107,color bomb usage,23,21.26,2023-11-07,iphone,15.2,0,1,0,1,low,0,0,11.0,0.2686324301515074
273,800,13,58,fish usage,49,6.65,2023-11-07,ipad,11.2,23,56,13,0,low,0,0,11.0,0.21646957911868334
4,800,21,1375,color bomb usage,0,12.11,2023-11-07,ipad,16.9,7,0,13,0,low,0,0,11.0,0.3155980333194132
33,800,11,50,wrapped candy blast,4,99.99,2023-11-07,iphone,12.2,7,8,31,1,low,0,0,11.0,0.3301616616448972
4,8563,44,952,extra time boost,0,16.34,2023-11-07,android,11.3,2,71,80,0,low,0,1,11.0,0.23931949869536495
4,800,13,988,extra time boost,0,5.91,2023-11-07,ipad,13.5,23,7,11,0,low,0,0,11.0,0.2512990667274857
299,2640,80,398,striped candy swipe,41,9.39,2023-11-06,iphone,13.0,14,9,39,1,low,0,0,11.0,0.18514663646268686
10,49996,14,732,color bomb creation,2,12.99,2023-11-06,iphone,11.6,15,24,6,0,low,0,0,11.0,0.26694203320896615
318,800,34,980,wrapped candy blast,6,24.56,2023-11-06,android,18.7,7,0,0,1,low,0,0,11.0,0.27919566945817786
261,52890,12,453,wrapped candy blast,0,5.54,2023-11-06,iphone,11.2,5,15,7,1,low,1,0,11.0,0.22743567021260927
4,3788,24,50,extra moves,7,25.36,2023-11-06,ipad,11.2,18,9,5,1,low,0,0,11.0,0.2126892682466713
102,13734,6,203,extra moves,0,99.99,2023-11-06,ipad,12.4,5,21,97,0,low,0,1,11.0,0.279033803424095
4,800,95,64,extra time boost,5,24.03,2023-11-06,iphone,16.6,14,1,87,0,low,0,0,11.0,0.31362031564066156
4,800,3,50,extra time boost,49,19.98,2023-11-06,iphone,11.2,18,24,9,0,low,1,0,11.0,0.22440821595719007
4,800,64,1209,fish usage,0,99.99,2023-11-06,android,11.2,0,12,0,1,low,0,0,11.0,0.24569048291164056
4,9511,13,179,wrapped candy swap,0,26.04,2023-11-06,android,14.4,7,17,24,0,moderate,0,1,11.0,0.32254421566368435
6,12882,3,756,striped candy swipe,0,2.23,2023-11-06,ipad,14.6,7,5,41,0,low,0,0,11.0,0.25228718991036814
65,2095,31,153,striped candy swipe,9,99.99,2023-11-06,ipad,11.2,7,65,30,1,low,1,0,11.0,0.19809197715227006
400,68911,12,50,extra moves,0,27.2,2023-11-06,iphone,13.1,7,9,72,1,low,0,0,11.0,0.2740464394579117
345,11435,56,833,striped candy swipe,0,99.99,2023-11-06,iphone,11.2,26,33,28,1,low,0,0,11.0,0.20815524301877278
289,800,60,840,special candy swap,5,9.63,2023-11-06,ipad,12.8,5,0,0,0,low,0,0,11.0,0.2488671029324593
19,800,14,252,wrapped candy blast,0,7.1,2023-11-06,android,11.2,15,8,12,0,low,0,0,11.0,0.266908008694053
293,800,12,73,fish usage,2,6.95,2023-11-06,android,13.2,20,21,6,0,low,1,0,11.0,0.274741564112472
59,800,9,105,fish blast,0,2.79,2023-11-06,iphone,11.2,20,16,0,0,low,0,0,11.0,0.22801548375130812
299,800,1,50,wrapped candy blast,3,77.73,2023-11-06,ipad,16.1,11,5,0,0,low,1,0,11.0,0.26366095322235084
4,2878,17,575,color bomb usage,0,4.49,2023-11-06,ipad,16.6,39,14,28,0,low,0,0,11.0,0.3053385990003501
88,800,95,209,striped candy blast,13,2.57,2023-11-06,iphone,11.6,0,0,13,1,low,1,0,11.0,0.26939366911522766
252,19683,85,50,color bomb usage,0,2.54,2023-11-06,ipad,12.5,4,14,25,1,high,0,0,11.0,0.19526434680800822
4,800,4,230,fish usage,0,2.1,2023-11-06,ipad,11.2,9,44,10,1,low,0,0,11.0,0.21739621186359892
375,23895,9,281,striped candy swap,3,25.67,2023-11-06,ipad,14.3,0,0,28,1,low,0,1,11.0,0.39110798500455113
18,2257,76,514,striped candy swipe,2,87.3,2023-11-05,android,11.2,13,16,39,0,low,0,1,11.0,0.24852087793151056
269,25259,95,2280,color bomb usage,0,26.73,2023-11-05,iphone,11.8,12,20,25,0,low,1,1,11.0,0.32434242726702067
400,10043,14,781,striped candy swap,1,0.39,2023-11-05,ipad,12.5,4,65,13,0,low,1,0,11.0,0.19566969483097518
400,56499,0,247,fish usage,4,14.38,2023-11-05,iphone,11.2,15,16,0,0,moderate,1,0,11.0,0.22557888738190002
4,800,16,444,color bomb creation,0,0.36,2023-11-05,iphone,11.8,0,0,9,1,low,1,0,11.0,0.33130861268731393
70,3177,3,50,striped candy swipe,1,3.19,2023-11-05,android,14.2,19,15,42,0,low,0,1,11.0,0.35147523278256576
7,800,3,256,color bomb usage,12,2.94,2023-11-05,iphone,14.9,6,2,26,1,low,1,1,11.0,0.27779382726153096
302,800,34,288,special candy swap,0,9.3,2023-11-05,iphone,18.1,15,8,0,0,low,0,0,11.0,0.22668233826118436
85,800,50,50,striped candy swipe,3,12.93,2023-11-05,iphone,12.6,2,11,13,1,low,1,1,11.0,0.1509694502164218
4,9104,95,697,striped candy swipe,34,12.81,2023-11-05,ipad,17.9,12,0,45,1,low,0,1,11.0,0.3150415932670389
4,800,13,157,color bomb creation,7,62.56,2023-11-05,iphone,13.9,0,0,0,1,low,0,0,11.0,0.16060740219878827
317,1061,16,1028,fish usage,2,2.67,2023-11-05,iphone,13.7,41,112,22,0,low,0,1,11.0,0.19756239083249078
72,11545,0,50,extra moves,0,14.25,2023-11-05,iphone,17.0,5,6,34,0,low,1,0,11.0,0.1913856944696064
400,8925,10,50,special candy swap,11,17.19,2023-11-05,ipad,13.1,0,13,25,0,low,1,0,11.0,0.26417723926743997
93,800,0,50,color bomb usage,1,51.48,2023-11-05,ipad,14.5,17,17,0,1,low,1,0,11.0,0.21216105276523067
99,8900,78,364,extra time boost,8,0.31,2023-11-05,android,13.3,5,0,39,0,moderate,1,0,11.0,0.18675222779778916
49,800,15,565,rewarded_boosters,13,17.73,2023-11-05,android,16.1,10,6,2,1,low,0,0,11.0,0.3365822815884706
223,800,9,106,fish usage,5,9.39,2023-11-05,ipad,12.7,0,0,0,1,low,0,0,11.0,0.21197309179587262
98,5207,13,1540,wrapped candy blast,17,14.55,2023-11-05,ipad,11.8,10,20,24,0,low,0,0,11.0,0.31400410467817763
77,800,9,376,special candy swap,10,5.51,2023-11-04,ipad,12.9,7,0,0,1,low,0,0,11.0,0.24951407747746088
171,14053,4,85,special candy swap,6,3.07,2023-11-04,ipad,16.1,43,18,106,0,low,0,1,11.0,0.28140177125242877
71,800,65,320,wrapped candy blast,39,71.88,2023-11-04,ipad,15.3,20,0,0,1,low,1,0,11.0,0.26530591516398955
26,49715,16,251,extra moves,3,22.39,2023-11-04,android,17.2,14,5,48,1,low,0,0,11.0,0.35391084284287394
49,13552,19,703,extra moves,0,10.31,2023-11-04,ipad,13.2,73,9,0,1,low,0,0,11.0,0.22248251911464653
51,800,37,431,special candy swap,12,16.39,2023-11-03,ipad,11.2,0,2,25,0,low,1,0,11.0,0.21449559490864087
45,800,0,50,special candy swap,12,22.82,2023-11-03,ipad,11.2,9,5,13,0,low,1,1,11.0,0.2131996294355416
157,800,0,57,special candy swap,7,3.67,2023-11-03,iphone,11.8,29,17,0,1,low,0,0,11.0,0.33043006035423916
48,15278,24,50,striped candy swipe,3,63.49,2023-11-03,ipad,11.9,19,28,5,0,low,0,0,11.0,0.30719319917996807
4,23795,14,453,color bomb usage,18,23.75,2023-11-03,iphone,11.3,17,112,12,0,low,0,1,11.0,0.2010654509118385
4,800,13,1371,color bomb usage,1,7.89,2023-11-03,ipad,18.3,19,23,25,0,low,0,0,11.0,0.34595791013951
399,33512,0,50,extra moves,46,14.7,2023-11-03,ipad,15.5,58,9,2,0,low,0,0,11.0,0.22171478533748284
54,800,7,50,wrapped candy blast,19,6.95,2023-11-03,android,11.2,6,9,5,0,low,0,0,11.0,0.26694319728883065
11,12179,23,422,extra time boost,5,83.64,2023-11-03,ipad,19.1,57,8,43,1,low,1,1,11.0,0.2951225820323693
115,800,16,1016,extra moves,31,25.19,2023-11-03,iphone,11.2,0,0,8,1,high,1,0,11.0,0.22332295618410927
4,800,14,50,special candy swap,14,1.02,2023-11-03,ipad,11.2,4,8,13,0,low,1,1,11.0,0.21761658006936135
145,24852,2,50,special candy swap,15,26.83,2023-11-03,iphone,17.5,0,14,13,1,low,1,1,11.0,0.1688399525770251
4,63986,0,192,extra moves,0,26.65,2023-11-03,ipad,16.9,16,16,8,0,low,0,1,11.0,0.31184504167038885
19,800,3,50,fish usage,1,4.32,2023-11-03,ipad,13.8,58,8,50,0,low,0,0,11.0,0.3801110939584943
400,800,15,814,wrapped candy blast,12,21.41,2023-11-02,iphone,16.6,11,97,15,0,low,0,0,11.0,0.31429685994993806
165,1629,82,102,extra moves,10,47.1,2023-11-02,iphone,12.1,20,0,82,1,low,1,0,11.0,0.22073887752245705
20,800,14,226,wrapped candy blast,36,20.8,2023-11-01,ipad,11.5,19,112,20,0,low,1,0,11.0,0.23442389130060098
24,800,5,50,striped candy swipe,8,18.24,2023-11-01,ipad,11.2,7,22,12,1,low,0,0,11.0,0.21412214185431902
4,800,95,492,striped candy swipe,3,99.99,2023-11-01,ipad,11.2,24,4,0,0,low,0,1,11.0,0.19809197715227006
140,10972,74,475,striped candy swipe,33,99.99,2023-11-01,android,15.0,28,23,30,1,low,0,0,11.0,0.19459630058436644
4,3485,15,395,wrapped candy blast,49,1.4,2023-11-01,iphone,11.2,57,0,2,0,low,1,1,11.0,0.22830894914530453
320,95000,0,240,special candy swap,4,4.53,2023-11-01,android,13.6,6,6,70,0,moderate,0,0,11.0,0.37042648480575324
400,6599,86,50,striped candy blast,41,99.99,2023-11-01,iphone,14.9,1,14,8,1,low,1,0,11.0,0.2550643720071741
7,800,87,54,extra time boost,28,26.07,2023-11-01,iphone,12.1,1,8,27,0,low,0,0,11.0,0.22510623682504013
38,29837,8,50,fish blast,0,24.25,2023-11-01,iphone,16.6,7,15,0,1,low,0,1,11.0,0.3135635425785137
4,8397,6,336,wrapped candy blast,0,1.58,2023-11-01,iphone,11.2,16,12,13,0,low,0,0,11.0,0.22827093144685642
374,800,15,50,extra time boost,32,11.78,2023-11-01,ipad,15.8,0,16,12,1,low,0,1,11.0,0.2512648289836307
107,800,0,50,striped candy swipe,9,18.31,2023-11-01,android,16.5,18,31,8,0,low,0,0,11.0,0.21057662145182324
5,2207,34,1312,extra time boost,0,10.03,2023-11-01,android,13.7,23,0,1,0,low,0,0,11.0,0.23217465128463532
339,95000,15,50,striped candy swipe,8,18.21,2023-11-01,ipad,16.3,25,5,82,0,low,1,0,11.0,0.19663090391851173
4,800,81,1175,fish usage,25,7.75,2023-11-01,ipad,11.2,9,22,0,0,low,1,0,11.0,0.21624598757046984
41,3788,7,536,fish usage,0,5.79,2023-11-01,ipad,11.2,25,32,12,1,low,1,1,11.0,0.21664450356362086
248,800,3,50,striped candy swipe,9,25.94,2023-10-30,iphone,12.2,12,0,5,0,low,0,0,10.0,0.3185906164096781
315,6814,13,194,color bomb usage,7,4.53,2023-10-30,ipad,19.3,0,1,47,0,low,0,0,10.0,0.3241189339424097
273,800,35,50,color bomb usage,0,21.78,2023-10-30,iphone,17.0,1,0,0,1,low,1,0,10.0,0.16915363034789946
249,5654,21,630,extra moves,2,5.92,2023-10-30,android,12.6,14,0,123,0,low,0,1,10.0,0.16167179366938417
149,800,76,1698,extra time boost,6,10.01,2023-10-30,ipad,13.0,8,112,10,0,low,0,0,10.0,0.15625469580835652
35,800,88,50,extra moves,6,21.06,2023-10-29,iphone,16.2,27,6,2,1,low,0,0,10.0,0.23544236319827846
168,28416,73,91,color bomb creation,7,15.43,2023-10-29,ipad,11.2,8,19,9,1,low,0,0,10.0,0.1917832137406067
76,800,95,347,special candy swap,9,15.18,2023-10-29,iphone,13.6,18,67,10,0,low,0,0,10.0,0.28923850623644115
400,800,36,1043,extra time boost,0,24.9,2023-10-29,iphone,11.2,0,28,10,0,low,1,0,10.0,0.199785308455845
4,12874,30,50,striped candy swipe,0,26.77,2023-10-29,iphone,12.1,19,31,0,0,low,1,0,10.0,0.20123853226951416
4,800,80,1574,special candy swap,11,15.45,2023-10-29,iphone,18.7,1,0,0,1,low,1,0,10.0,0.21526726709691435
4,800,13,87,rewarded_boosters,29,23.12,2023-10-29,iphone,13.0,0,0,0,1,low,1,0,10.0,0.1624787699902589
312,800,73,1024,striped candy swipe,0,8.94,2023-10-29,ipad,13.7,2,0,0,1,low,0,0,10.0,0.16618961982680042
4,800,0,50,extra time boost,8,4.95,2023-10-29,ipad,12.8,8,0,0,1,low,1,0,10.0,0.22432606829787544
28,3435,0,50,wrapped candy blast,13,14.78,2023-10-29,ipad,13.2,46,7,40,0,low,0,1,10.0,0.19810264908969977
103,12655,4,1345,rewarded_boosters,0,3.08,2023-10-29,iphone,11.4,6,9,42,1,low,0,1,10.0,0.14119508284136142
245,5669,15,2280,fish usage,4,17.54,2023-10-29,android,11.7,5,20,27,1,low,0,0,10.0,0.2326902344458099
400,29117,0,135,fish usage,0,21.76,2023-10-29,iphone,17.3,1,48,0,1,low,0,0,10.0,0.18937634198877956
400,2493,2,447,wrapped candy blast,5,7.2,2023-10-29,ipad,11.7,17,54,9,0,low,1,0,10.0,0.18962505462417611
400,800,9,314,extra moves,0,21.49,2023-10-29,android,13.0,0,0,20,0,low,1,1,10.0,0.16849303269330362
108,800,15,1597,striped candy swipe,1,7.87,2023-10-29,iphone,13.3,0,0,5,0,low,0,0,10.0,0.15929337916092723
336,53360,82,394,wrapped candy swap,0,8.73,2023-10-29,iphone,14.6,17,32,98,1,low,0,0,10.0,0.2361974854925163
67,32244,1,50,fish usage,7,19.41,2023-10-29,iphone,16.1,0,43,1,1,low,0,0,10.0,0.26182472814261926
78,4298,16,234,fish blast,0,14.53,2023-10-29,ipad,18.6,0,0,0,0,low,1,0,10.0,0.39484661764934453
344,18402,10,50,color bomb usage,7,36.58,2023-10-29,ipad,14.0,5,7,22,0,low,0,0,10.0,0.2571305737484529
4,800,0,50,wrapped candy blast,11,1.02,2023-10-29,ipad,14.9,4,0,29,0,low,0,1,10.0,0.2392329176059027
4,800,31,50,extra time boost,10,99.99,2023-10-29,ipad,14.8,76,18,40,0,low,0,1,10.0,0.21878226783512786
4,12837,11,50,fish usage,5,46.28,2023-10-28,ipad,11.2,13,20,117,1,low,0,0,10.0,0.18611567690973602
113,800,36,589,fish usage,8,18.05,2023-10-28,android,11.2,0,26,30,0,low,0,1,10.0,0.23774662607307656
267,800,15,445,extra moves,0,99.99,2023-10-28,ipad,11.2,0,1,9,0,low,0,0,10.0,0.17655836112075785
400,800,55,403,wrapped candy blast,25,21.62,2023-10-28,iphone,11.5,52,3,5,0,low,0,0,10.0,0.2203070043229878
53,11494,5,50,extra moves,0,9.3,2023-10-26,ipad,18.4,3,3,5,0,low,0,1,10.0,0.2559074027819721
325,30388,0,119,color bomb usage,39,30.35,2023-10-26,ipad,15.4,16,42,6,0,low,1,1,10.0,0.305808314241577
400,800,4,301,special candy swap,1,18.88,2023-10-26,iphone,14.1,14,15,0,0,low,1,0,10.0,0.19553252695687393
88,23439,21,50,fish usage,5,19.02,2023-10-26,ipad,19.1,0,0,14,0,high,1,0,10.0,0.28196389661584803
400,800,36,1191,striped candy blast,31,25.4,2023-10-26,iphone,12.8,0,18,6,0,low,0,0,10.0,0.23094778391683246
7,24959,95,370,color bomb usage,6,10.06,2023-10-26,ipad,14.5,24,9,0,0,low,0,0,10.0,0.1972027941838671
48,43137,16,944,striped candy blast,0,7.67,2023-10-26,android,11.2,0,4,41,0,low,1,1,10.0,0.24000917245526662
21,11901,0,50,extra time boost,6,0.49,2023-10-26,android,12.4,1,112,25,0,low,0,1,10.0,0.2957186730306476
4,800,39,50,fish usage,6,30.71,2023-10-26,ipad,11.2,15,13,8,1,low,0,0,10.0,0.18895978439694888
81,6035,5,51,color bomb usage,7,13.2,2023-10-26,iphone,16.7,15,24,1,0,low,0,1,10.0,0.344145907184723
107,34703,29,927,special candy swap,15,0.86,2023-10-25,iphone,17.6,5,7,12,1,low,0,1,10.0,0.22072303957815712
4,800,34,118,fish usage,0,0.75,2023-10-25,android,13.0,34,5,6,1,low,1,0,10.0,0.19801778706630788
14,800,59,443,extra moves,0,22.96,2023-10-25,android,14.7,13,1,0,0,low,0,0,10.0,0.2997257701990234
65,20647,14,230,extra moves,11,94.76,2023-10-25,iphone,13.5,7,6,25,1,low,0,0,10.0,0.21795681354369356
4,800,93,288,fish blast,1,24.35,2023-10-25,ipad,14.0,2,0,0,0,low,0,1,10.0,0.2599412221154986
117,1256,65,1931,extra moves,0,2.45,2023-10-25,android,11.3,0,0,0,1,low,0,0,10.0,0.21732214845322947
110,800,0,167,wrapped candy blast,13,12.34,2023-10-25,android,12.9,6,4,39,0,high,0,0,10.0,0.2739963301766144
213,3794,91,190,extra moves,0,20.95,2023-10-24,ipad,19.3,3,0,0,0,low,0,0,10.0,0.31982153987747725
354,800,0,822,color bomb creation,10,94.76,2023-10-24,android,13.1,0,23,37,1,low,0,1,10.0,0.27241346097541164
87,27852,85,50,special candy swap,21,13.8,2023-10-24,iphone,11.2,0,13,40,1,low,0,0,10.0,0.20192129010833837
365,800,11,50,wrapped candy swap,0,15.55,2023-10-24,iphone,16.3,0,5,100,0,low,0,0,10.0,0.18487005935046122
35,800,15,117,extra moves,3,35.51,2023-10-23,ipad,11.2,10,12,2,1,low,0,0,10.0,0.18807945025588563
29,8566,51,50,wrapped candy swap,0,15.72,2023-10-23,iphone,18.4,19,6,0,1,low,0,0,10.0,0.26641948163736145
93,72232,26,274,extra moves,0,4.08,2023-10-23,android,15.2,10,9,31,1,low,1,0,10.0,0.2873676324996214
400,6458,14,617,striped candy swipe,49,15.5,2023-10-23,iphone,11.2,53,9,12,1,low,0,0,10.0,0.20159305484814488
316,800,0,124,special candy swap,4,0.41,2023-10-23,ipad,15.7,25,2,9,1,low,0,0,10.0,0.2608432992483648
4,19687,7,50,extra moves,0,5.66,2023-10-23,ipad,17.5,11,1,8,0,low,1,0,10.0,0.14526261358861411
277,5411,7,50,fish blast,0,22.8,2023-10-23,android,12.3,0,112,0,0,low,0,0,10.0,0.20601320736498807
65,1666,1,766,special candy swap,6,10.6,2023-10-23,ipad,11.5,1,0,0,1,low,0,0,10.0,0.2120106761228854
75,24882,0,182,fish usage,25,11.35,2023-10-23,iphone,17.7,76,20,40,0,low,0,0,10.0,0.30530712735046667
238,6198,35,403,wrapped candy blast,0,11.02,2023-10-23,ipad,11.7,0,0,9,0,low,0,0,10.0,0.188922306275393
35,4763,74,50,striped candy swipe,11,21.72,2023-10-22,ipad,15.1,17,13,23,1,low,0,0,10.0,0.3030994294415951
23,800,95,50,striped candy swipe,49,9.49,2023-10-22,android,12.9,9,24,0,0,high,1,0,10.0,0.2737073333154711
4,6571,74,50,fish blast,9,16.75,2023-10-21,ipad,11.3,18,18,36,0,high,0,0,10.0,0.1715024325238984
38,17464,13,2280,extra moves,2,4.33,2023-10-21,ipad,18.5,44,0,8,1,low,0,0,10.0,0.2093776310397107
400,2937,4,187,extra time boost,48,5.87,2023-10-21,android,14.7,22,63,7,0,low,1,0,10.0,0.305075210677036
65,11337,4,226,special candy swap,28,15.83,2023-10-20,ipad,11.6,12,17,27,1,low,0,0,10.0,0.2284017199435993
216,800,65,958,special candy swap,10,1.71,2023-10-20,ipad,11.2,41,7,9,1,low,0,1,10.0,0.19434570536608076
100,7096,14,1025,extra time boost,0,16.12,2023-10-20,ipad,11.2,3,0,12,0,low,0,1,10.0,0.19165502520382657
4,8905,27,50,extra time boost,1,37.11,2023-10-20,ipad,11.2,28,5,32,0,low,1,0,10.0,0.18778670670259193
157,4297,0,673,wrapped candy blast,0,23.82,2023-10-20,iphone,11.9,1,112,0,0,low,0,1,10.0,0.3004591103078135
